decimalLatitude,decimalLongitude,species,eventDate,dateIdentified,depth
-8.34076,116.094,Gonodactylaceus falcatus,2013-03-24T14:30Z,2013-03-24T00:00:00,6.0
37.8516,15.3044,Octopus vulgaris,2012-09-08T02:02Z,2012-09-08T00:00:00,10.0
7.78704,98.367,Ostracion cubicus,2010-03-30T02:02Z,2010-03-30T00:00:00,8.5
-8.34076,116.094,Neotrygon kuhlii,2013-03-24T14:30Z,2013-03-24T00:00:00,6.0
37.8516,15.3044,Apogon imberbis,2012-09-08T02:02Z,2012-09-08T00:00:00,10.0
7.59106,98.367,Gymnothorax flavimarginatus,2010-03-30T01:02Z,2010-03-30T00:00:00,7.0
-8.34076,116.094,Gymnothorax javanicus,2013-03-24T14:30Z,2013-03-24T00:00:00,6.0
37.8516,15.3044,Echinaster sepositus,2012-09-08T02:02Z,2012-09-08T00:00:00,10.0
7.59106,98.367,Laticauda colubrina,2010-03-30T01:02Z,2010-03-30T00:00:00,7.0
-8.34076,116.094,Heteroconger hassi,2013-03-24T14:30Z,2013-03-24T00:00:00,6.0
-14.9342,145.661,Nemateleotris magnifica,2013-01-21T01:01Z,2013-01-21T00:00:00,7.5
37.8516,15.3044,Tylosurus acus,2012-09-08T02:02Z,2012-09-08T00:00:00,10.0
7.59106,98.367,Chelonia mydas,2010-03-30T01:02Z,2010-03-30T00:00:00,7.0
-8.34076,116.094,Bothus lunatus,2013-03-24T14:30Z,2013-03-24T00:00:00,6.0
-14.9342,145.661,Amphiprion percula,2013-01-21T01:01Z,2013-01-21T00:00:00,7.5
-14.9342,145.661,Balistoides conspicillum,2013-01-21T01:01Z,2013-01-21T00:00:00,7.5
7.59106,98.367,Macrorhamphosodes uradoi,2010-03-30T01:02Z,2010-03-30T00:00:00,7.0
-14.9342,145.661,Eretmochelys imbricata,2013-01-21T01:01Z,2013-01-21T00:00:00,7.5
-14.9406,145.705,Chromis dimidiata,2013-01-21T02:02Z,2013-01-21T00:00:00,8.0
-14.9342,145.661,Amphiprion tricinctus,2013-01-21T01:01Z,2013-01-21T00:00:00,7.5
