scientificName,taxonKey
"Scarus collana Rüppell, 1835",2393623
"Scyllarides aequinoctialis (Lund, 1793)",2221727
"Lutjanus Bloch, 1790",2356953
"Balistoides conspicillum (Bloch & Schneider, 1801)",2407129
"Scorpaena elongata Cadenat, 1943",2334646
"Lutjanus fulvus (Forster, 1801)",2385096
Sepiola atlantica d,11081688
"Stegastes diencaeus (Jordan & Rutter, 1897)",2398786
"Plectorhinchus chaetodonoides Lacepède, 1801",2382701
"Bodianus axillaris (Bennett, 1832)",5209666
"Trygonoptera testacea Müller & Henle, 1841",2419415
"Chromodoris reticulata (Pease, 1860)",10363472
"Centropyge argi Woods & Kanazawa, 1951",2396546
"Myrichthys breviceps (Richardson, 1848)",2404520
"Pseudochromis flavivertex Rüppell, 1835",2381677
"Hypsypops rubicundus (Girard, 1854)",2398736
"Gymnothorax minor (Temminck & Schlegel, 1846)",2404109
"Stenella longirostris (Gray, 1828)",5220060
